Name	Age	Nationality	Club	Joined
Bruno Varela	23	Portugal	SL Benfica	2017-07-02
L. Narsingh	27	Netherlands	Swansea City	2017-01-12
K. Djidji	25	Ivory Coast	Torino	NA
L. Robles	34	United States	New York Red Bulls	2012-01-01
A. Erokhin	28	Russia	NA	NA
G. Shinnie	26	Scotland	Aberdeen	2015-06-10
L. Rizzo	26	Italy	Foggia	NA
I. Konaté	19	France	RB Leipzig	2017-07-01
B. Ecuélé Manga	29	Gabon	Cardiff City	2014-09-01
J. Córdoba	25	Colombia	1. FC Köln	2017-07-01
Edvaldisco	26	Brazil	Botafogo	2018-01-01
G. Sakai	27	Japan	Hamburger SV	2015-07-06
A. González	23	Mexico	Monterrey	2016-06-14
R. Rosales	29	Venezuela	RCD Espanyol	NA
J. Dueñas	29	Mexico	Tigres U.A.N.L.	2011-01-01
N. De Préville	27	France	FC Girondins de Bordeaux	2017-08-31
Diogo Figueiras	27	Portugal	SC Braga	2018-01-31
A. El Ghazi	23	Netherlands	Aston Villa	NA
P. Aguilar	32	Mexico	Club América	2011-07-01
K. Dolly	25	South Africa	Montpellier HSC	2017-01-27
F. Mora	24	Chile	U.N.A.M.	2018-07-14
P. Barrientos	33	Argentina	Deportivo Toluca	2016-07-30
H. Rodallega	32	Colombia	Trabzonspor	2017-01-24
A. Epureanu	31	Moldova	Medipol Başakşehir FK	2014-07-11
M. Caraglio	29	Argentina	Cruz Azul	2018-07-01
S. Lung	29	Romania	Kayserispor	2017-06-29
Maurício	26	Brazil	Urawa Red Diamonds	2017-08-01
A. Boruc	38	Poland	Bournemouth	2015-07-01
C. Gordon	35	Scotland	Celtic	2014-07-03
F. Santander	27	Paraguay	Bologna	2018-07-01
A. Ramírez	37	Colombia	Atlético Nacional	2017-01-10
M. Cabrera	32	Uruguay	Deportivo Cali	2018-07-03
B. Valdez	25	Paraguay	Club América	2016-06-14
Pozo	22	Spain	Rayo Vallecano	2018-07-27
Bruno Gaspar	25	Portugal	Sporting CP	2018-07-01
N. Rigoni	27	Italy	Chievo Verona	2012-09-05
I. Kahveci	22	Turkey	Medipol Başakşehir FK	2017-01-04
Sebas Couteira	30	Brazil	Atlético Paranaense	2018-01-01
Walace	23	Brazil	Hannover 96	2018-07-01
R. Shawcross	30	England	Stoke City	2008-01-17
David Simão	28	Portugal	Boavista FC	2017-08-31
C. Rius	29	Argentina	Defensa y Justicia	2016-01-23
B. Martins Indi	26	Netherlands	Stoke City	2017-08-11
P. Rosario	21	Netherlands	PSV	2016-07-25
Álvaro García	25	Spain	Rayo Vallecano	2018-08-23
Kauã Abranches	34	Brazil	Paraná	2018-01-01
A. Gyan	32	Ghana	Kayserispor	2017-07-05
D. Simpson	31	England	Leicester City	2014-08-30
H. Seferović	26	Switzerland	SL Benfica	2017-07-01
R. Sobhi	21	Egypt	Huddersfield Town	2018-06-12
P. Gazzaniga	26	Argentina	Tottenham Hotspur	2017-08-23
F. Mussis	26	Argentina	San Lorenzo de Almagro	2015-01-06
A. Masina	24	Italy	Watford	2018-07-02
J. Błaszczykowski	32	Poland	VfL Wolfsburg	2016-08-01
J. Beausejour	34	Chile	Universidad de Chile	2016-07-19
J. Livermore	28	England	West Bromwich Albion	2017-01-20
D. Kourmpelis	24	Greece	Panathinaikos FC	2017-01-01
Nicolás Formido	30	Brazil	Internacional	2018-01-01
J. Aidoo	22	Ghana	KRC Genk	2017-07-25
Melendo	20	Spain	RCD Espanyol	2016-07-01
E. Pieters	29	Netherlands	Stoke City	2013-07-01
Luisinho	33	Portugal	SD Huesca	2018-07-02
A. Semenov	29	Russia	NA	NA
Ramalho	25	Spain	Girona FC	2016-07-01
Kévin Rodrigues	24	Portugal	Real Sociedad	2015-07-01
K. Piątek	23	Poland	Genoa	2018-07-08
R. Vlaar	33	Netherlands	AZ Alkmaar	2015-12-07
R. van Wolfswinkel	29	Netherlands	FC Basel 1893	2017-06-10
Ilie Sánchez	27	Spain	Sporting Kansas City	2017-01-13
Ewerton	29	Brazil	1. FC Nürnberg	2017-07-21
A. Chumacero	27	Bolivia	Puebla FC	2018-01-01
Dani Pacheco	27	Spain	Málaga CF	2018-08-15
L. Rodríguez	33	Argentina	Atlético Tucumán	2004-01-01
A. Jahović	31	FYR Macedonia	Atiker Konyaspor	2018-01-30
M. Britos	32	Uruguay	Watford	2015-07-22
M. Rits	24	Belgium	Club Brugge KV	2018-07-01
S. Deli	26	Ivory Coast	SK Slavia Praha	2015-01-15
H. Traoré	26	Mali	Stade Rennais FC	2017-07-01
P. Aguedar	30	Paraguay	NA	NA
Crespo	31	Spain	PAOK	2016-07-01
Rafael	28	Brazil	Sampdoria	2018-07-22
Bigas	27	Spain	SD Eibar	NA
L. Öztunalı	22	Germany	1. FSV Mainz 05	2016-08-25
M. Jojić	26	Serbia	Medipol Başakşehir FK	2018-07-10
Vitor Bueno	23	Brazil	Dynamo Kyiv	2016-05-18
G. Til	20	Netherlands	AZ Alkmaar	2015-07-01
I. Pussetto	22	Argentina	Udinese	2018-07-23
A. Ajeti	21	Switzerland	FC Basel 1893	2017-10-02
Luiz Araújo	22	Brazil	LOSC Lille	2017-07-01
A. Besedin	22	Ukraine	Dynamo Kyiv	2013-07-01
T. Didillon	22	France	RSC Anderlecht	2018-06-15
Arana	21	Brazil	Sevilla FC	2018-01-01
Zainadine	30	Mozambique	Clube Sport Marítimo	2017-07-01
K. Théophile-Catherine	28	France	Dinamo Zagreb	2018-07-06
A. Gianniotis	25	Greece	Olympiacos CFP	2018-07-01
Bruno Saltor	37	Spain	Brighton & Hove Albion	2012-07-01
M. Stendera	22	Germany	Eintracht Frankfurt	2013-04-06
S. Kalu	20	Nigeria	FC Girondins de Bordeaux	2018-08-06
Juan Cala	28	Spain	UD Las Palmas	2018-07-07
J. Tavernier	26	England	Rangers FC	2015-07-20
W. McKennie	19	United States	FC Schalke 04	2017-07-01
W. Tesillo	28	Colombia	Club León	2018-07-03
A. Mariappa	31	Jamaica	Watford	2016-08-30
S. Morrison	27	England	Cardiff City	2014-08-15
J. Brenet	24	Netherlands	TSG 1899 Hoffenheim	2018-07-01
B. Dack	24	England	Blackburn Rovers	2017-07-01
Y. Kubo	24	Japan	1. FC Nürnberg	NA
T. Pukki	28	Finland	Norwich City	2018-07-01
William	26	Brazil	GD Chaves	2016-08-03
L. Melgarejo	27	Paraguay	Spartak Moscow	2016-02-08
J. Jones	26	Trinidad & Tobago	SV Darmstadt 98	2018-01-01
I. Sosa	31	Argentina	Tigres U.A.N.L.	2016-06-08
M. Ekici	28	Turkey	Fenerbahçe SK	2017-06-20
A. Nyom	30	Cameroon	CD Leganés	NA
K. Konaté	26	Ivory Coast	NA	NA
F. Đorđević	30	Serbia	Chievo Verona	2018-07-01
E. Room	29	Curacao	PSV	2017-08-16
T. Usami	26	Japan	Fortuna Düsseldorf	NA
Ruben Lima	28	Portugal	Moreirense FC	2017-07-01
Fábio Espinho	32	Portugal	Boavista FC	2016-07-19
L. Marković	24	Serbia	Liverpool	2014-07-15
J. Barrera	22	Colombia	Junior FC	2014-08-21
R. Mora	30	Uruguay	River Plate	2012-08-14
D. Lazović	27	Serbia	Genoa	2015-07-01
M. Burda	23	Ukraine	Dynamo Kyiv	2013-07-01
Tana	27	Spain	UD Las Palmas	2013-08-01
A. Miranchuk	22	Russia	Lokomotiv Moscow	2012-01-01
L. Grabban	30	England	Nottingham Forest	2018-07-06
I. Koné	30	Ivory Coast	NA	NA
J. Hušbauer	28	Czech Republic	SK Slavia Praha	2016-01-01
A. Soumaoro	26	France	LOSC Lille	2011-07-01
Patric	30	Brazil	Sanfrecce Hiroshima	2017-12-31
P. Diamanka	28	Senegal	CD Numancia	2017-08-10
A. Pulido	27	Mexico	Guadalajara	2016-08-30
Roger Guedes	21	Brazil	Shandong Luneng TaiShan FC	2018-07-13
D. N'Doye	33	Senegal	FC København	2018-07-02
S. Johansen	27	Norway	Fulham	2016-08-26
I. Afellay	32	Netherlands	Stoke City	2015-07-27
A. Zambo Anguissa	22	Cameroon	Fulham	2018-08-09
N. Lombaerts	33	Belgium	KV Oostende	2017-07-01
C. Chambers	23	England	Fulham	NA
I. Sangaré	20	Ivory Coast	Toulouse Football Club	2016-07-05
A. Sulu	32	Turkey	SV Darmstadt 98	2013-01-11
M. Pucciarelli	27	Italy	Chievo Verona	NA
R. Saïss	28	Morocco	Wolverhampton Wanderers	2016-08-30
J. Haberer	24	Germany	SC Freiburg	2016-07-01
E. Dennis	20	Nigeria	Club Brugge KV	2017-07-01
J. Kana-Biyik	28	Cameroon	Kayserispor	2016-08-16
V. Barkas	24	Greece	AEK Athens	2016-07-01
K. Johnsson	28	Sweden	En Avant de Guingamp	2016-07-01
S. Floccari	36	Italy	SPAL	2017-01-19
S. Prödl	31	Austria	Watford	2015-07-01
V. Laurini	29	France	Fiorentina	2018-07-20
A. Eschenko	34	Russia	Spartak Moscow	2016-07-01
S. Okaka	28	Italy	Watford	2016-09-01
J. Kodjia	28	Ivory Coast	Aston Villa	2016-08-30
A. Oyongo	27	Cameroon	Montpellier HSC	2018-01-02
S. Bolat	29	Turkey	Royal Antwerp FC	2017-07-17
A. Mitriţă	23	Romania	NA	NA
A. Behich	27	Australia	PSV	2018-08-31
O. Tannane	24	Morocco	FC Utrecht	NA
F. Haroun	32	Belgium	Royal Antwerp FC	2017-01-01
D. Gosling	28	England	Bournemouth	2014-07-01
Pedro Santos	30	Portugal	Columbus Crew SC	2017-08-08
J. Larsen	19	Denmark	Borussia Dortmund	2016-10-26
F. Bastians	30	Germany	Tianjin TEDA FC	2018-01-26
J. Ralls	24	England	Cardiff City	2011-10-01
S. Vilakazi	28	South Africa	NA	NA
Victorino Magela	30	Brazil	Bahia	2018-01-01
Marc Navarro	22	Spain	Watford	2018-07-02
K. Kamara	33	Sierra Leone	Vancouver Whitecaps FC	2017-12-10
Dória	23	Brazil	Santos Laguna	2018-07-29
S. Serdar	21	Germany	FC Schalke 04	2018-07-01
O. Tufan	23	Turkey	Fenerbahçe SK	2015-08-13
Pedro Rebocho	23	Portugal	En Avant de Guingamp	2017-07-01
I. Strinić	30	Croatia	Milan	2018-07-02
S. Grytebust	28	Norway	Odense Boldklub	2016-02-18
W. Hahn	26	Netherlands	SC Heerenveen	2017-07-01
Adrianiscito	26	Brazil	Grêmio	2018-01-01
L. Fernández	27	Argentina	Independiente	2016-01-13
A. Lozano	25	Honduras	Girona FC	2018-01-30
M. Tisserand	25	DR Congo	VfL Wolfsburg	2017-11-25
M. Ruben	31	Argentina	Rosario Central	2016-01-15
T. Abraham	20	England	Aston Villa	NA
R. Neustädter	30	Russia	Fenerbahçe SK	2016-07-06
Bebé	27	Portugal	Rayo Vallecano	2018-08-31
M. Vydra	26	Czech Republic	Burnley	2018-08-07
J. Leca	32	France	Racing Club de Lens	2018-07-01
Carmona	30	Spain	Real Sporting de Gijón	2012-07-01
C. Lema	28	Argentina	SL Benfica	2018-07-01
Dentinho	29	Brazil	Shakhtar Donetsk	2011-07-01
L. Villafañez	26	Argentina	Alanyaspor	2018-01-26
D. Brasanac	26	Serbia	Deportivo Alavés	NA
S. Kljestan	32	United States	Orlando City SC	2018-01-03
W. Morelo	31	Colombia	Independiente Santa Fe	2017-06-30
M. Diop	30	Senegal	Beijing Renhe FC	2018-06-18
C. Benavente	24	Peru	Sporting de Charleroi	2016-01-05
A. del Valle	29	Colombia	Millonarios FC	2016-07-01
R. Ibarra	27	Ecuador	Club América	2016-07-01
J. Musso	24	Argentina	Udinese	2018-07-13
Padilhisco	26	Brazil	Bahia	2018-01-01
F. Forestieri	28	Italy	Sheffield Wednesday	2015-08-29
A. Bedoya	31	United States	Philadelphia Union	2016-08-03
A. Romao	34	Togo	Stade de Reims	2018-07-23
O. Gladkyi	30	Ukraine	Çaykur Rizespor	2018-08-31
A. Hack	24	Germany	1. FSV Mainz 05	2015-09-13
D. McCarty	31	United States	Chicago Fire	2017-01-17
K. Adénon	32	Benin	Amiens SC	2015-07-01
J. Plata	26	Ecuador	Real Salt Lake	2013-01-01
J. Stephens	24	England	Southampton	2011-04-01
M. Ødegaard	19	Norway	Vitesse	NA
Rúben Semedo	24	Portugal	SD Huesca	NA
Sequeira	27	Portugal	SC Braga	2017-07-01
I. Chochev	25	Bulgaria	Palermo	2014-07-11
M. Gulde	27	Germany	SC Freiburg	2016-07-01
Bruno César	29	Brazil	Sporting CP	2016-01-04
F. Jara	29	Argentina	Pachuca	2015-09-08
Gabrìel	25	Brazil	Perugia	2018-08-18
M. Bakalorz	28	Germany	Hannover 96	2016-07-01
A. Rossi	22	Argentina	Boca Juniors	2017-02-02
Álex Moreno	25	Spain	Rayo Vallecano	2014-07-16
F. Hadergjonaj	23	Switzerland	Huddersfield Town	2018-07-01
O. Kucher	35	Ukraine	Kayserispor	2017-08-16
M. Diouf	30	Senegal	Stoke City	2014-07-01
G. Burdisso	29	Argentina	Independiente	2018-07-05
V. Misidjan	24	Netherlands	1. FC Nürnberg	2018-08-31
A. Correa	33	Colombia	Once Caldas	2018-07-03
R. Salin	33	France	Sporting CP	2017-07-29
F. Valverde	19	Uruguay	Real Madrid	2016-07-22
M. Etxeberría	26	Paraguay	NA	NA
R. Haps	25	Netherlands	Feyenoord	2017-07-18
Cho Hyun Woo	26	Korea Republic	Daegu FC	2013-01-01
Y. Gourcuff	31	France	Dijon FCO	2018-07-20
Jesus Andradaldo	26	Brazil	Internacional	2018-01-01
P. Mpoku	26	DR Congo	Standard de Liège	2017-07-03
D. Musto	31	Argentina	SD Huesca	NA
M. Vargas	21	Argentina	Vélez Sarsfield	2015-05-01
A. Baba	23	Ghana	FC Schalke 04	NA
S. Davis	33	Northern Ireland	Southampton	2012-07-06
S. Özbayraklı	28	Turkey	Fenerbahçe SK	2015-07-01
Mattheus Oliveira	23	Brazil	Vitória Guimarães	NA
M. Le Marchand	28	France	Fulham	2018-07-12
Régis	25	Brazil	Al Wehda	NA
Nacho	29	Spain	Real Valladolid CF	2017-07-06
B. Gibson	25	England	Burnley	2018-08-05
C. Taylor	24	England	Burnley	2017-07-06
T. Kędziora	24	Poland	Dynamo Kyiv	2017-07-11
R. Saravia	25	Argentina	Racing Club	2018-07-23
D. Drexler	28	Germany	1. FC Köln	2018-07-21
S. Falette	26	Guinea	Eintracht Frankfurt	2017-08-16
O. Etebo	22	Nigeria	Stoke City	2018-06-11
A. Cerci	30	Italy	MKE Ankaragücü	2018-08-18
L. Rodríguez	21	Argentina	Estudiantes de La Plata	2015-07-09
R. Hubník	34	Czech Republic	Viktoria Plzeň	2013-09-03
J. Andersen	22	Denmark	Sampdoria	2017-08-29
Fran Beltrán	19	Spain	RC Celta	2018-08-01
D. Viera	27	Paraguay	Godoy Cruz	2015-01-08
F. Zampedri	30	Argentina	Rosario Central	2017-07-15
H. Lindner	27	Austria	Grasshopper Club Zürich	2017-07-01
J. Sánchez Miño	28	Argentina	Independiente	2016-07-28
M. Pavlović	28	Croatia	Angers SCO	2016-06-19
A. Koné	34	Ivory Coast	Sivasspor	2017-07-04
J. Ferri	26	France	Nîmes Olympique	NA
C. Bassogog	22	Cameroon	Henan Jianye FC	2017-02-19
M. Diagne	26	Senegal	Kasimpaşa SK	2018-01-19
J. Ibe	22	England	Bournemouth	2016-07-18
D. Heuer Fernandes	25	Portugal	SV Darmstadt 98	2016-07-01
A. Fulgini	21	France	Angers SCO	2017-07-07
M. Jensen	30	Denmark	Rosenborg BK	2013-02-01
A. Bjelland	29	Denmark	FC København	2018-07-09
J. Fuenzalida	33	Chile	Universidad Católica	2016-01-10
Juanfran	29	Spain	CD Leganés	NA
S. Kittel	25	Germany	FC Ingolstadt 04	2016-07-03
V. Rosier	21	France	Dijon FCO	2016-07-01
K. Waston	30	Costa Rica	Vancouver Whitecaps FC	2014-08-08
P. Žulj	25	Austria	SK Sturm Graz	2017-07-01
L. Grant	35	England	Manchester United	2018-07-03
G. Jara	32	Chile	Universidad de Chile	2016-01-18
S. Lainer	25	Austria	FC Red Bull Salzburg	2015-07-01
Óscar Plano	27	Spain	Real Valladolid CF	2017-07-03
De la Bella	32	Spain	UD Las Palmas	2018-08-27
R. Cohade	33	France	FC Metz	2016-07-07
P. Morales	33	Chile	CD Universidad de Concepción	2018-01-11
D. Arismendi	30	Uruguay	Rosario Central	2018-08-10
N. Stanciu	25	Romania	Sparta Praha	2018-01-23
D. Ćaleta-Car	21	Croatia	Olympique de Marseille	2018-07-20
L. Fer	28	Netherlands	Swansea City	2016-07-05
A. Williams	33	Wales	Stoke City	NA
J. Bryan	24	England	Fulham	2018-08-09
Ricardo Costa	37	Portugal	CD Tondela	2017-07-01
Ailton	23	Brazil	SC Braga	NA
R. Cota	30	Mexico	Club León	2018-07-06
G. Margreitter	29	Austria	1. FC Nürnberg	2015-08-24
A. Rebrov	34	Russia	Spartak Moscow	2011-08-01
Djavan	30	Brazil	GD Chaves	2017-08-31
A. Chedjou	33	Cameroon	Bursaspor	NA
Luna	27	Spain	Levante UD	2017-07-01
F. Ricca	23	Uruguay	Málaga CF	2016-02-01
C. Awaziem	21	Nigeria	FC Porto	2016-01-01
F. Carrizo	27	Argentina	Rosario Central	2017-02-23
A. Ragusa	28	Italy	Hellas Verona	NA
A. Wan-Bissaka	20	England	Crystal Palace	2015-07-02
J. Biabiany	30	France	Parma	2018-08-07
B. Mensah	23	Ghana	Kayserispor	NA
D. Padelli	32	Italy	Inter	2017-07-02
D. Tošić	33	Serbia	Guangzhou R&F; FC	2018-07-01
E. Bauthéac	30	France	Brisbane Roar	2017-10-18
Tiago Silva	25	Portugal	CD Feirense	2018-07-01
A. Tameze	24	Cameroon	OGC Nice	2017-06-10
V. Manceau	28	France	Angers SCO	2008-07-01
F. Bardi	26	Italy	Frosinone	2018-07-01
L. Advíncula	28	Peru	Rayo Vallecano	NA
J. Gallardo	23	Mexico	Monterrey	2018-07-01
Enaldo Toxeto	30	Brazil	Grêmio	2018-01-01
Camilo	29	Brazil	Querétaro	2014-01-17
J. Schmid	28	France	FC Augsburg	2016-08-26
Welthon	26	Brazil	Vitória Guimarães	2018-01-22
Moi Gómez	24	Spain	SD Huesca	NA
Marc Muniesa	26	Spain	Girona FC	2018-07-02
Samu Saiz	27	Spain	Leeds United	2017-07-13
J. Sorbon	34	France	En Avant de Guingamp	2013-07-01
S. Long	31	Republic of Ireland	Southampton	2014-08-14
S. Wuytens	28	Belgium	AZ Alkmaar	2016-01-22
S. Araujo	26	Argentina	UD Las Palmas	2015-06-26
André Martins	28	Portugal	Legia Warszawa	2018-09-06
S. March	23	England	Brighton & Hove Albion	2013-07-01
F. Chafik	31	Morocco	Dijon FCO	2016-07-01
K. Ajer	20	Norway	Celtic	2016-06-15
K. Grosicki	30	Poland	Hull City	2017-01-31
Alex Bergantiños	33	Spain	Deportivo de La Coruña	2011-07-01
E. Derdiyok	30	Switzerland	Galatasaray SK	2016-08-05
David Braz	31	Brazil	Sivasspor	2018-08-08
D. Roef	24	Belgium	Waasland-Beveren	NA
Lombán	31	Spain	Málaga CF	2018-09-14
J. Drobný	38	Czech Republic	SV Werder Bremen	2016-07-01
A. Acquah	26	Ghana	Empoli	2018-08-17
T. Smith	26	England	Huddersfield Town	2012-09-01
R. Nuzzolo	34	Switzerland	Neuchâtel Xamax	2016-07-01
G. Jung	23	Germany	Hamburger SV	2014-07-01
M. Iturra	34	Chile	Villarreal CF	2018-09-04
Molinero	32	Spain	Real Sporting de Gijón	2018-07-12
Pedro Sá	24	Portugal	Portimonense SC	2016-07-01
D. Pérez	29	Argentina	Colo-Colo	2018-07-10
B. Cesar	35	Slovenia	Chievo Verona	2010-07-01
D. Braghieri	31	Argentina	Atlético Nacional	2018-01-18
C. Álvarez	32	Argentina	Real Zaragoza	2017-08-03
Carlos Ponck	23	Cape Verde	CD Aves	2018-07-25
R. Assalé	24	Ivory Coast	BSC Young Boys	2017-07-01
M. Miazga	22	United States	FC Nantes	NA
Léo Bonatini	24	Brazil	Wolverhampton Wanderers	2018-07-01
B. Fernández	23	Argentina	Club Necaxa	2018-07-01
S. Hutchinson	27	England	Millwall	2016-07-01
S. Rybalka	28	Ukraine	Sivasspor	2018-07-23
N. Acevedo	29	Argentina	Unión de Santa Fe	2018-07-23
J. Lucero	26	Argentina	Club Tijuana	2017-01-05
G. Chakvetadze	18	Georgia	KAA Gent	2017-08-30
I. Fossum	21	Norway	Hannover 96	2016-01-01
V. Karavaev	23	Russia	Vitesse	2018-01-31
T. Leibold	24	Germany	1. FC Nürnberg	2015-07-01
G. Arias	30	Chile	Racing Club	2018-07-09
T. Huddlestone	31	England	Derby County	2017-07-15
A. Clayton	29	England	Middlesbrough	2014-08-13
K. Nakamura	37	Japan	Kawasaki Frontale	2003-01-01
L. Koné	29	Ivory Coast	RC Strasbourg Alsace	NA
M. Vejinović	28	Netherlands	AZ Alkmaar	2018-07-01
H. Van Crombrugge	25	Belgium	KAS Eupen	2013-07-01
M. Russ	32	Germany	Eintracht Frankfurt	2013-07-01
Pietrson Mendes	34	Brazil	Bahia	2018-01-01
Salvi Sánchez	27	Spain	Cádiz CF	2015-07-01
E. Pavez	28	Chile	Colo-Colo	2018-07-05
I. Kovács	26	Hungary	NA	NA
Nildo Petrolina	32	Brazil	CD Aves	2017-07-01
Y. Seleznyov	32	Ukraine	Akhisar Belediyespor	2018-01-06
C. Löwe	29	Germany	Huddersfield Town	2016-07-01
V. Cantillo	24	Colombia	Junior FC	2017-07-07
J. Ward	28	England	Crystal Palace	2012-05-28
S. Skrzybski	25	Germany	FC Schalke 04	2018-07-01
Diego Oliveira	28	Brazil	FC Tokyo	NA
Luis Milla	23	Spain	CD Tenerife	2018-01-19
A. Ba	27	Senegal	Rayo Vallecano	2017-08-30
Jaim Abra	26	Brazil	América FC (Minas Gerais)	2018-01-01
S. von Bergen	35	Switzerland	BSC Young Boys	2013-07-01
S. Armenteros	28	Sweden	Portland Timbers	NA
Y. Öztekin	31	Turkey	Göztepe SK	2018-07-25
J. Molina	30	Mexico	Monterrey	2017-01-01
R. Gikiewicz	30	Poland	1. FC Union Berlin	2018-07-01
G. Silva	24	Uruguay	Independiente	2017-09-06
W. Hoolahan	36	Republic of Ireland	West Bromwich Albion	2018-09-14
Freder Cabral	26	Brazil	Atlético Mineiro	2018-01-01
J. Gómez	28	Argentina	Al Fayha	2018-01-22
Rodrigo Galo	31	Brazil	AEK Athens	2015-07-01
R. Fredericks	25	England	West Ham United	2018-07-01
M. Ishak	25	Sweden	1. FC Nürnberg	2017-01-30
N. Gießelmann	26	Germany	Fortuna Düsseldorf	2017-07-01
Luis Couprins	30	Brazil	Atlético Paranaense	2018-01-01
F. Kudryashov	31	Russia	NA	NA
S. Zoller	27	Germany	1. FC Köln	2014-07-01
D. Brooks	20	Wales	Bournemouth	2018-07-01
M. Hawsawi	26	Saudi Arabia	Al Ahli	2014-07-01
M. Bolaños	28	Ecuador	Club Tijuana	2018-07-16
J. St. Juste	21	Netherlands	Feyenoord	2017-07-18
João Aurélio	29	Portugal	Moreirense FC	2018-07-01
J. Marié	26	France	Dijon FCO	2013-02-14
R. Benzar	26	Romania	NA	NA
G. Sertic	28	France	Olympique de Marseille	2017-01-30
R. Philippoteaux	30	France	AJ Auxerre	2017-07-08
Gerson	21	Brazil	Fiorentina	NA
B. Assombalonga	25	DR Congo	Middlesbrough	2017-07-17
J. Šural	28	Czech Republic	Sparta Praha	2016-01-13
Gerso	27	Guinea Bissau	Sporting Kansas City	2017-01-04
M. Urruti	27	Argentina	FC Dallas	2015-12-11
D. Ciofani	32	Italy	Frosinone	2013-07-01
Etxeita	30	Spain	SD Huesca	NA
L. Ayling	26	England	Leeds United	2016-08-11
K. Saief	24	United States	RSC Anderlecht	2018-07-01
S. Thioub	23	France	Nîmes Olympique	2016-07-01
D. Bronn	23	Tunisia	KAA Gent	2017-07-31
J. Basanta	34	Argentina	Monterrey	2016-06-30
Diego Farías	28	Brazil	Cagliari	2014-08-06
L. Rodríguez	27	Mexico	Tigres U.A.N.L.	2016-06-09
Marcos Paneira	30	Brazil	Bahia	2018-01-01
Cifuentes	39	Spain	Cádiz CF	2015-07-04
K. Bartley	27	England	West Bromwich Albion	2018-07-16
K. Monnet-Paquet	29	France	AS Saint-Étienne	2014-07-01
G. Cameron	32	United States	Queens Park Rangers	NA
R. Yabo	26	Germany	FC Red Bull Salzburg	2015-07-01
A. Najar	25	Honduras	RSC Anderlecht	2013-01-30
B. Ramselaar	22	Netherlands	PSV	2016-08-18
T. Ciğerci	26	Turkey	Fenerbahçe SK	2018-08-31
O. Pérez	37	Argentina	Patriotas Boyacá FC	2018-01-22
F. Mattiello	22	Italy	Bologna	NA
V. Forren	30	Norway	Molde FK	2017-07-27
F. Diedhiou	25	Senegal	Bristol City	2017-06-28
K. Darlow	27	England	Newcastle United	2014-08-04
F. Novák	28	Czech Republic	Trabzonspor	2018-01-18
P. Martinez	29	France	RC Strasbourg Alsace	2017-06-21
M. Santos	25	Uruguay	CD Leganés	NA
J. Kopic	28	Czech Republic	Viktoria Plzeň	2015-07-01
N. Al Abed	28	Saudi Arabia	Al Hilal	2008-07-01
C. Keşerü	31	Romania	NA	NA
Ferrán Torres	18	Spain	Valencia CF	2017-07-01
S. Kapino	24	Greece	SV Werder Bremen	2018-08-01
O. Opazo	27	Chile	Colo-Colo	2017-06-19
André Geraldes	27	Portugal	Real Sporting de Gijón	NA
Juli Piresinho	30	Brazil	Bahia	2018-01-01
J. Schlupp	25	Ghana	Crystal Palace	2017-01-13
Vinicius Cardenha	26	Brazil	Fluminense	2018-01-01
B. Lozano	24	Uruguay	Santos Laguna	2018-07-01
P. Hrošovský	26	Slovakia	Viktoria Plzeň	2014-01-01
Gabriel Silva	27	Brazil	AS Saint-Étienne	2017-08-09
O. Sorg	28	Germany	Hannover 96	2015-07-01
B. Johnsen	26	Norway	AZ Alkmaar	2018-07-27
M. Yanga-Mbiwa	29	France	Olympique Lyonnais	2015-08-14
M. Britos	29	Uruguay	Querétaro	2018-01-12
R. Hennings	30	Germany	Fortuna Düsseldorf	2017-07-07
J. Bamba	22	France	LOSC Lille	2018-07-02
Ivo Rodrigues	23	Portugal	Royal Antwerp FC	2018-05-14
E. Audero	21	Italy	Sampdoria	NA
A. Maier	19	Germany	Hertha BSC	2017-02-04
F. Tissone	31	Argentina	CD Nacional	2018-09-29
M. Dituro	31	Argentina	Universidad Católica	2017-01-10
G. Bia	28	Belgium	Sporting Lokeren	2018-09-13
B. Alıcı	21	Turkey	Fenerbahçe SK	2018-07-10
G. Bussmann	27	France	1. FSV Mainz 05	2015-08-30
C. Buchtmann	26	Germany	FC St. Pauli	2012-08-30
J. Al Hussien	35	Syria	Al Taawoun	2014-07-09
G. Poblete	25	Argentina	San Lorenzo de Almagro	NA
M. Niakhaté	22	France	1. FSV Mainz 05	2018-07-07
T. Minamino	23	Japan	FC Red Bull Salzburg	2015-01-07
N. Benedetti	21	Colombia	Deportivo Cali	2015-06-19
Y. Sanogo	25	France	Toulouse Football Club	2017-07-07
E. Álvarez	20	Mexico	Club América	2016-01-01
S. Sunzu	29	Zambia	FC Metz	2018-07-09
M. Kanazaki	29	Japan	Sagan Tosu	2018-07-24
Paulinho	26	Portugal	GD Chaves	2017-07-01
L. Bustamante	32	Argentina	Deportes Iquique	2015-06-23
E. Schelotto	29	Italy	Brighton & Hove Albion	2017-08-31
Ignasi Miquel	25	Spain	Getafe CF	2018-08-04
Álex Gallar	26	Spain	SD Huesca	2017-07-10
Orlando Sá	30	Portugal	Standard de Liège	2018-07-19
T. Ince	26	England	Stoke City	2018-07-24
Víctor Rodríguez	28	Spain	Seattle Sounders FC	2017-08-02
L. Baal	32	France	Stade Rennais FC	2015-07-01
Élton	32	Brazil	Al Qadisiyah	2017-01-04
